"","nazwa","indeks_FM","indeks_AR"
"1","atom","0.980154374710112","0.960350395814338"
"2","engytime","0.921762370493254","0.843525125498277"
"3","chainlink","0.519125133478022","-0.000915965007741665"
"4","hepta","0.545369944811052","0.395110428181547"
"5","lsun","0.724086707116383","0.448270134295088"
"6","target","0.780353342074327","0.616133859591393"
"7","tetra","0.66398927001501","0.504320038105776"
"8","twodiamonds","0.997496875014685","0.99499999220708"
"9","wingnut","1","1"
